"","sequence.sequenceID","alignment.name","alignment.displayName","sequence.m49_country.id","sequence.m49_country.display_name","sequence.gb_place_sampled","sequence.collection_year","sequence.earliest_collection_year","sequence.latest_collection_year","sequence.gb_length","sequence.gb_create_date","sequence.gb_update_date","sequence.host","sequence.gb_pubmed_id","sequence.isolate"
"RV/R7.PHL/2009/TRa-144.293","AB683643","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 7, Negros Oriental","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-144"
"RV/R7.PHL/2009/TRa-145","AB563949","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Negros Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-145"
"RV/R7.PHL/2009/TRa-147","AB563950","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Negros Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-147"
"RV/R7.PHL/2009/TRa-164","AB563958","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Negros Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-164"
"RV/R7.PHL/2009/TRa-165","AB563959","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Negros Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-165"
"RV/R7.PHL/2009/TRa-166","AB563960","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-166"
"RV/R7.PHL/2009/TRa-167","AB563961","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-167"
"RV/R7.PHL/2009/TRa-168.176","AB563962","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-168"
"RV/R7.PHL/2009/TRa-168.294","AB683644","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 7, Cebu","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-168"
"RV/R7.PHL/2009/TRa-170","AB563963","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-170"
"RV/R7.PHL/2009/TRa-172","AB563964","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-172"
"RV/R7.PHL/2009/TRa-173.179","AB563965","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-173"
"RV/R7.PHL/2009/TRa-173.295","AB683645","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 7, Cebu","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-173"
"RV/R7.PHL/2009/TRa-176.180","AB563966","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-176"
"RV/R7.PHL/2009/TRa-176.296","AB683646","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 7, Cebu","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-176"
"RV/R7.PHL/2009/TRa-177","AB563967","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-177"
"RV/R7.PHL/2009/TRa-178","AB563968","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-178"
"RV/R7.PHL/2009/TRa-179.302","AB683652","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 7, Cebu","2009","2009",2009,1124,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-179"
"RV/R7.PHL/2009/TRa-179.338","AB838710","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2009","2009",2009,1575,"19-Jul-13","19-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-179"
"RV/R7.PHL/2009/TRa-235","AB564001","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Negros Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-235"
"RV/R7.PHL/2009/TRa-236","AB564002","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Negros Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-236"
"RV/R7.PHL/2009/TRa-237","AB564003","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Negros Oriental","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-237"
"RV/R7.PHL/2009/TRa-238","AB564004","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Negros Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-238"
"RV/R7.PHL/2009/TRa-239","AB564005","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Negros Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-239"
"RV/R7.PHL/2009/TRa-240","AB564006","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Negros Oriental","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-240"
"RV/R7.PHL/2009/TRa-241","AB564007","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Negros Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-241"
"V1371PHIL","DQ275546","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2004","2004",2004,951,"10-Dec-05","25-Jul-16","Felis catus","-","V1371PHIL"
"V1372PHIL","DQ275550","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2004","2004",2004,894,"10-Dec-05","25-Jul-16","Felis catus","-","V1372PHIL"
"V1373PHIL","DQ275549","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2004","2004",2004,589,"10-Dec-05","25-Jul-16","Canis familiaris","17869366","V1373PHIL"
"V1374PHIL","DQ275547","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2004","2004",2004,950,"10-Dec-05","25-Jul-16","Canis familiaris","-","V1374PHIL"
"V1375PHIL","DQ275548","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2004","2004",2004,937,"10-Dec-05","25-Jul-16","Canis familiaris","-","V1375PHIL"
"Z-12-001","MN726845","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2012","2012",2012,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-12-001"
"Z-12-088","MN726843","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2012","2012",2012,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-12-088"
"Z-12-118","MN726856","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2012","2012",2012,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-12-118"
"Z-12-134","MN726874","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2012","2012",2012,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-12-134"
"Z-12-149","MN726853","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2012","2012",2012,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-12-149"
"Z-12-212","MN726879","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2012","2012",2012,11863,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-12-212"
"Z-13-002","MN726836","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2013","2013",2013,11863,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-13-002"
"Z-13-009","MN726837","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2013","2013",2013,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-13-009"
"Z-13-032","MN726862","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2013","2013",2013,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-13-032"
"Z-13-066","MN726878","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2018","2018",2018,11000,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-13-066"
"Z-13-071","MN726871","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2013","2013",2013,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-13-071"
"Z-13-094","MN726838","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2013","2013",2013,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-13-094"
"Z-13-096","MN726869","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2013","2013",2013,11653,"25-Dec-19","25-Dec-19","Felis catus","-","Z-13-096"
"Z-14-033","MN726844","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2014","2014",2014,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-14-033"
"Z-14-136","MN726865","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2014","2014",2014,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-14-136"
"Z-14-138","MN726866","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2014","2014",2014,11765,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-14-138"
"Z-14-146","MN726841","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2014","2014",2014,11863,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-14-146"
"Z-14-149","MN726870","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2014","2014",2014,11863,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-14-149"
"Z-15-001","MN726846","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2015","2015",2015,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-15-001"
"Z-15-019","MN726861","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2015","2015",2015,11791,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-15-019"
"Z-15-116","MN726839","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2015","2015",2015,11863,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-15-116"
"Z-15-119","MN726849","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2015","2015",2015,10725,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-15-119"
"Z-15-130","MN726881","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2015","2015",2015,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-15-130"
"Z-15-148","MN726840","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2015","2015",2015,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-15-148"
"Z-16-013","MN726848","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2016","2016",2016,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-16-013"
"Z-16-159","MN726855","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2016","2016",2016,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-16-159"
"Z-16-186","MN726858","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2016","2016",2016,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-16-186"
"Z-16-209","MN726872","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2017","2017",2017,11863,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-16-209"
"Z-16-210","MN726847","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2017","2017",2017,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-16-210"
"Z-16-211","MN726882","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2019","2019",2019,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z-16-211"
"Z12-012","MN726867","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2012","2012",2012,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z12-012"
"Z14-142","MN726851","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2014","2014",2014,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z14-142"
"Z14-152","MN726873","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2014","2014",2014,11863,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z14-152"
"Z15-185","MN726854","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2015","2015",2015,11737,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","Z15-185"
